Transaction_ID,Customer_ID,Customer_Name,Product_ID,Product_Name,Category,Unit_Price,Quantity,Order_Date,Payment_Method,Shipping_Courier,Shipping_Time_Days,Review_Score,Review_Comment,Total_Amount
TXN00001,CUST0092,Dina,PROD36,Adidas Ultraboost,Footwear,3500000,4,2023-08-20,Bank Transfer,JNE,2,5,Not satisfied,14000000
TXN00002,CUST0024,Alice,PROD40,Nike Air Max,Apparel,2000000,4,2023-11-28,Bank Transfer,AnterAja,2,5,Could be better,8000000
TXN00003,CUST0029,Bob,PROD6,Adidas Ultraboost,Accessories,3500000,4,2024-03-12,Bank Transfer,SiCepat,4,2,Excellent service,14000000
TXN00004,CUST0044,Dina,PROD30,Uniqlo Dry-EX Shirt,Accessories,3500000,4,2023-09-02,E-Wallet,J&T,2,3,Item not as described,14000000
TXN00005,CUST0085,Eve,PROD49,Xiaomi Backpack,Electronics,2000000,5,2024-04-19,Credit Card,SiCepat,5,3,Could be better,10000000
TXN00006,CUST0081,Dina,PROD14,Uniqlo Dry-EX Shirt,Apparel,250000,4,2023-12-20,Credit Card,AnterAja,3,2,Item not as described,1000000
TXN00007,CUST0047,Bob,PROD45,ASUS TUF A15,Apparel,250000,2,2023-01-21,Bank Transfer,SiCepat,1,5,Excellent service,500000
TXN00008,CUST0019,Eve,PROD4,Lenovo LOQ,Accessories,500000,4,2024-04-16,E-Wallet,AnterAja,2,4,Great quality!,2000000
TXN00009,CUST0085,Alice,PROD8,Xiaomi Backpack,Apparel,250000,3,2024-04-24,Bank Transfer,AnterAja,1,2,Great quality!,750000
TXN00010,CUST0037,Alice,PROD32,Uniqlo Dry-EX Shirt,Footwear,250000,3,2023-12-08,Cash,JNE,4,2,Could be better,750000
TXN00011,CUST0025,Bob,PROD8,ASUS TUF A15,Accessories,250000,2,2024-03-01,Cash,JNE,5,2,Great quality!,500000
TXN00012,CUST0052,Eve,PROD26,Uniqlo Dry-EX Shirt,Accessories,1250000,3,2023-01-23,E-Wallet,AnterAja,4,4,Excellent service,3750000
TXN00013,CUST0065,Charlie,PROD50,Lenovo LOQ,Accessories,1250000,3,2023-07-13,Credit Card,SiCepat,4,5,Item not as described,3750000
TXN00014,CUST0054,Eve,PROD13,Nike Air Max,Accessories,1250000,3,2023-01-14,Bank Transfer,JNE,4,1,Great quality!,3750000
TXN00015,CUST0075,Eve,PROD26,ASUS TUF A15,Apparel,1250000,5,2023-08-24,Bank Transfer,J&T,3,2,Fast delivery,6250000
TXN00016,CUST0004,Eve,PROD7,Uniqlo Dry-EX Shirt,Accessories,3500000,2,2024-06-18,Bank Transfer,JNE,5,4,Could be better,7000000
TXN00017,CUST0050,Frank,PROD40,Uniqlo Dry-EX Shirt,Footwear,250000,4,2023-02-23,Credit Card,J&T,4,3,Great quality!,1000000
TXN00018,CUST0074,Dina,PROD50,Nike Air Max,Apparel,3500000,5,2023-03-16,Bank Transfer,AnterAja,5,5,Great quality!,17500000
TXN00019,CUST0088,Bob,PROD27,Uniqlo Dry-EX Shirt,Footwear,1250000,5,2023-02-23,Cash,SiCepat,1,2,Not satisfied,6250000
TXN00020,CUST0091,Frank,PROD11,Lenovo LOQ,Accessories,500000,5,2024-02-28,E-Wallet,J&T,2,1,Not satisfied,2500000
TXN00021,CUST0059,Dina,PROD42,ASUS TUF A15,Footwear,500000,4,2023-09-13,E-Wallet,AnterAja,2,5,Fast delivery,2000000
TXN00022,CUST0030,Charlie,PROD35,Nike Air Max,Electronics,2000000,2,2023-06-28,Cash,AnterAja,3,5,Great quality!,4000000
TXN00023,CUST0059,Dina,PROD4,Adidas Ultraboost,Electronics,2000000,5,2024-06-26,Bank Transfer,SiCepat,3,4,Could be better,10000000
TXN00024,CUST0068,Charlie,PROD50,Lenovo LOQ,Apparel,3500000,4,2024-02-09,E-Wallet,JNE,5,5,Fast delivery,14000000
TXN00025,CUST0021,Dina,PROD9,Nike Air Max,Electronics,1250000,4,2023-12-30,Bank Transfer,J&T,5,2,Not satisfied,5000000
TXN00026,CUST0056,Eve,PROD19,Lenovo LOQ,Footwear,3500000,4,2024-04-19,Bank Transfer,JNE,4,4,Not satisfied,14000000
TXN00027,CUST0076,Frank,PROD9,Uniqlo Dry-EX Shirt,Footwear,1250000,5,2023-11-08,Credit Card,AnterAja,3,3,Great quality!,6250000
TXN00028,CUST0051,Frank,PROD4,Adidas Ultraboost,Footwear,1250000,3,2024-03-14,Credit Card,SiCepat,5,1,Item not as described,3750000
TXN00029,CUST0008,Charlie,PROD5,Lenovo LOQ,Accessories,500000,3,2024-04-15,Credit Card,J&T,3,1,Excellent service,1500000
TXN00030,CUST0046,Eve,PROD34,Lenovo LOQ,Footwear,2000000,3,2023-07-02,Bank Transfer,AnterAja,4,3,Excellent service,6000000
TXN00031,CUST0098,Bob,PROD44,Xiaomi Backpack,Apparel,1250000,3,2024-02-06,Credit Card,SiCepat,3,4,Item not as described,3750000
TXN00032,CUST0084,Dina,PROD33,Adidas Ultraboost,Electronics,3500000,2,2023-09-26,E-Wallet,JNE,5,2,Great quality!,7000000
TXN00033,CUST0056,Bob,PROD19,Xiaomi Backpack,Electronics,500000,2,2023-07-23,Cash,JNE,3,5,Not satisfied,1000000
TXN00034,CUST0054,Charlie,PROD24,ASUS TUF A15,Accessories,1250000,5,2023-08-26,Cash,J&T,1,4,Not satisfied,6250000
TXN00035,CUST0026,Eve,PROD17,Xiaomi Backpack,Electronics,3500000,2,2023-07-24,Cash,AnterAja,3,1,Not satisfied,7000000
TXN00036,CUST0073,Eve,PROD44,Uniqlo Dry-EX Shirt,Footwear,3500000,3,2023-01-16,Cash,AnterAja,3,3,Not satisfied,10500000
TXN00037,CUST0065,Eve,PROD33,Adidas Ultraboost,Electronics,3500000,1,2023-11-14,Bank Transfer,SiCepat,1,5,Not satisfied,3500000
TXN00038,CUST0037,Eve,PROD29,Xiaomi Backpack,Apparel,250000,4,2023-08-16,E-Wallet,JNE,2,2,Excellent service,1000000
TXN00039,CUST0034,Dina,PROD22,Adidas Ultraboost,Electronics,1250000,4,2023-02-14,Credit Card,JNE,1,3,Great quality!,5000000
TXN00040,CUST0060,Eve,PROD49,ASUS TUF A15,Footwear,500000,5,2024-01-12,E-Wallet,SiCepat,3,2,Could be better,2500000
TXN00041,CUST0003,Bob,PROD43,Lenovo LOQ,Electronics,500000,1,2023-09-06,E-Wallet,SiCepat,2,1,Could be better,500000
TXN00042,CUST0055,Charlie,PROD6,Xiaomi Backpack,Footwear,1250000,1,2023-07-01,Bank Transfer,SiCepat,5,1,Could be better,1250000
TXN00043,CUST0052,Charlie,PROD24,Uniqlo Dry-EX Shirt,Apparel,500000,3,2023-07-10,Bank Transfer,SiCepat,2,5,Not satisfied,1500000
TXN00044,CUST0098,Eve,PROD33,ASUS TUF A15,Apparel,3500000,3,2023-05-29,Bank Transfer,J&T,1,3,Fast delivery,10500000
TXN00045,CUST0086,Alice,PROD6,ASUS TUF A15,Apparel,3500000,4,2023-08-22,E-Wallet,J&T,4,2,Not satisfied,14000000
TXN00046,CUST0066,Bob,PROD38,ASUS TUF A15,Footwear,3500000,3,2023-03-26,Cash,J&T,5,5,Excellent service,10500000
TXN00047,CUST0045,Alice,PROD17,Lenovo LOQ,Accessories,500000,5,2023-03-15,Bank Transfer,SiCepat,2,5,Great quality!,2500000
TXN00048,CUST0086,Eve,PROD6,Adidas Ultraboost,Footwear,3500000,3,2024-03-07,E-Wallet,SiCepat,5,1,Item not as described,10500000
TXN00049,CUST0028,Dina,PROD10,Nike Air Max,Apparel,500000,4,2023-12-01,Cash,JNE,1,5,Not satisfied,2000000
TXN00050,CUST0047,Alice,PROD41,Uniqlo Dry-EX Shirt,Footwear,500000,5,2024-05-01,Bank Transfer,JNE,2,5,Item not as described,2500000
TXN00051,CUST0028,Frank,PROD50,Adidas Ultraboost,Footwear,2000000,4,2024-02-02,Cash,JNE,3,1,Fast delivery,8000000
TXN00052,CUST0076,Alice,PROD30,Nike Air Max,Footwear,500000,5,2023-12-15,Cash,AnterAja,1,5,Not satisfied,2500000
TXN00053,CUST0081,Charlie,PROD40,ASUS TUF A15,Footwear,2000000,2,2023-01-23,Credit Card,SiCepat,1,1,Fast delivery,4000000
TXN00054,CUST0090,Bob,PROD24,Uniqlo Dry-EX Shirt,Footwear,1250000,1,2023-09-20,E-Wallet,SiCepat,3,2,Could be better,1250000
TXN00055,CUST0007,Eve,PROD16,Lenovo LOQ,Accessories,500000,2,2023-08-02,Cash,AnterAja,5,1,Could be better,1000000
TXN00056,CUST0100,Eve,PROD26,Xiaomi Backpack,Accessories,3500000,3,2023-11-23,Credit Card,SiCepat,1,5,Excellent service,10500000
TXN00057,CUST0099,Dina,PROD5,Xiaomi Backpack,Electronics,1250000,5,2024-05-03,Cash,J&T,2,3,Could be better,6250000
TXN00058,CUST0001,Bob,PROD5,ASUS TUF A15,Electronics,1250000,3,2023-06-11,Bank Transfer,AnterAja,3,1,Fast delivery,3750000
TXN00059,CUST0005,Dina,PROD41,ASUS TUF A15,Accessories,1250000,1,2023-03-27,E-Wallet,J&T,3,1,Fast delivery,1250000
TXN00060,CUST0060,Frank,PROD50,Lenovo LOQ,Electronics,3500000,5,2023-09-20,Bank Transfer,J&T,5,3,Fast delivery,17500000
TXN00061,CUST0087,Eve,PROD27,Adidas Ultraboost,Footwear,3500000,5,2023-04-18,Bank Transfer,J&T,1,3,Great quality!,17500000
TXN00062,CUST0012,Dina,PROD33,Xiaomi Backpack,Accessories,2000000,5,2024-05-20,E-Wallet,SiCepat,3,3,Great quality!,10000000
TXN00063,CUST0005,Dina,PROD33,Xiaomi Backpack,Electronics,2000000,4,2023-07-11,Credit Card,SiCepat,4,1,Great quality!,8000000
TXN00064,CUST0091,Charlie,PROD38,Uniqlo Dry-EX Shirt,Accessories,1250000,3,2024-02-13,Bank Transfer,AnterAja,2,2,Great quality!,3750000
TXN00065,CUST0023,Eve,PROD44,Uniqlo Dry-EX Shirt,Apparel,500000,1,2023-04-05,E-Wallet,AnterAja,2,4,Excellent service,500000
TXN00066,CUST0005,Eve,PROD22,Nike Air Max,Footwear,250000,2,2023-05-17,Credit Card,J&T,5,1,Fast delivery,500000
TXN00067,CUST0072,Bob,PROD16,Xiaomi Backpack,Footwear,250000,3,2023-08-11,Cash,JNE,2,3,Item not as described,750000
TXN00068,CUST0045,Bob,PROD36,Adidas Ultraboost,Apparel,250000,1,2023-08-24,Bank Transfer,JNE,3,5,Could be better,250000
TXN00069,CUST0091,Frank,PROD46,Lenovo LOQ,Accessories,500000,1,2023-01-23,Credit Card,JNE,5,3,Fast delivery,500000
TXN00070,CUST0023,Bob,PROD31,Nike Air Max,Accessories,1250000,2,2023-08-04,E-Wallet,JNE,5,5,Item not as described,2500000
TXN00071,CUST0083,Eve,PROD2,Xiaomi Backpack,Accessories,500000,3,2023-01-10,E-Wallet,JNE,4,1,Could be better,1500000
TXN00072,CUST0076,Charlie,PROD27,Nike Air Max,Footwear,3500000,3,2023-08-24,Credit Card,J&T,3,2,Excellent service,10500000
TXN00073,CUST0069,Dina,PROD21,Nike Air Max,Electronics,250000,4,2023-02-20,Credit Card,J&T,4,2,Excellent service,1000000
TXN00074,CUST0044,Dina,PROD33,Adidas Ultraboost,Accessories,500000,4,2024-05-09,Credit Card,AnterAja,1,1,Item not as described,2000000
TXN00075,CUST0019,Charlie,PROD47,Uniqlo Dry-EX Shirt,Accessories,3500000,4,2023-02-17,Credit Card,SiCepat,5,1,Excellent service,14000000
TXN00076,CUST0040,Bob,PROD22,Xiaomi Backpack,Apparel,1250000,1,2023-01-06,Bank Transfer,AnterAja,5,4,Item not as described,1250000
TXN00077,CUST0075,Charlie,PROD21,Lenovo LOQ,Apparel,500000,5,2023-12-28,Cash,JNE,2,1,Fast delivery,2500000
TXN00078,CUST0088,Charlie,PROD7,Xiaomi Backpack,Accessories,1250000,4,2023-10-03,Bank Transfer,JNE,5,3,Item not as described,5000000
TXN00079,CUST0001,Frank,PROD18,Adidas Ultraboost,Accessories,1250000,4,2023-01-18,Bank Transfer,SiCepat,3,3,Great quality!,5000000
TXN00080,CUST0038,Alice,PROD45,Uniqlo Dry-EX Shirt,Apparel,1250000,2,2023-09-19,E-Wallet,JNE,5,2,Excellent service,2500000
TXN00081,CUST0049,Bob,PROD44,ASUS TUF A15,Electronics,500000,2,2023-06-21,Credit Card,J&T,4,3,Great quality!,1000000
TXN00082,CUST0083,Frank,PROD27,ASUS TUF A15,Electronics,500000,5,2023-09-16,Credit Card,J&T,5,4,Item not as described,2500000
TXN00083,CUST0009,Frank,PROD10,ASUS TUF A15,Footwear,2000000,2,2023-07-02,E-Wallet,JNE,3,2,Not satisfied,4000000
TXN00084,CUST0001,Alice,PROD15,Lenovo LOQ,Apparel,3500000,4,2023-10-30,Cash,SiCepat,1,2,Great quality!,14000000
TXN00085,CUST0030,Frank,PROD17,ASUS TUF A15,Footwear,1250000,3,2023-09-15,Bank Transfer,SiCepat,3,2,Fast delivery,3750000
TXN00086,CUST0034,Bob,PROD20,Nike Air Max,Accessories,500000,1,2023-06-26,Credit Card,J&T,5,3,Fast delivery,500000
TXN00087,CUST0056,Alice,PROD7,Adidas Ultraboost,Electronics,3500000,5,2024-04-26,Cash,J&T,2,2,Fast delivery,17500000
TXN00088,CUST0007,Dina,PROD47,Lenovo LOQ,Electronics,2000000,2,2024-02-20,Bank Transfer,JNE,1,5,Not satisfied,4000000
TXN00089,CUST0087,Eve,PROD46,ASUS TUF A15,Footwear,250000,3,2023-12-07,Credit Card,JNE,5,1,Not satisfied,750000
TXN00090,CUST0042,Frank,PROD5,ASUS TUF A15,Accessories,2000000,4,2024-05-02,Bank Transfer,SiCepat,4,4,Great quality!,8000000
TXN00091,CUST0026,Alice,PROD35,Uniqlo Dry-EX Shirt,Apparel,250000,5,2024-04-11,Bank Transfer,J&T,5,3,Great quality!,1250000
TXN00092,CUST0053,Bob,PROD13,Uniqlo Dry-EX Shirt,Apparel,250000,2,2024-06-02,Cash,SiCepat,1,4,Fast delivery,500000
TXN00093,CUST0086,Alice,PROD9,Adidas Ultraboost,Electronics,2000000,4,2023-11-08,E-Wallet,J&T,5,3,Item not as described,8000000
TXN00094,CUST0037,Frank,PROD49,Nike Air Max,Electronics,250000,1,2024-01-06,E-Wallet,SiCepat,5,1,Great quality!,250000
TXN00095,CUST0012,Frank,PROD9,Nike Air Max,Electronics,2000000,4,2023-04-13,E-Wallet,J&T,4,3,Not satisfied,8000000
TXN00096,CUST0090,Charlie,PROD12,ASUS TUF A15,Footwear,2000000,3,2024-03-06,Cash,SiCepat,5,5,Great quality!,6000000
TXN00097,CUST0045,Charlie,PROD16,Lenovo LOQ,Apparel,500000,5,2023-11-15,E-Wallet,J&T,5,2,Great quality!,2500000
TXN00098,CUST0039,Dina,PROD39,Nike Air Max,Footwear,500000,4,2024-03-22,E-Wallet,J&T,2,2,Could be better,2000000
TXN00099,CUST0005,Dina,PROD40,Uniqlo Dry-EX Shirt,Apparel,250000,3,2023-03-27,E-Wallet,JNE,2,2,Could be better,750000
TXN00100,CUST0065,Bob,PROD18,Xiaomi Backpack,Footwear,500000,4,2024-04-30,Credit Card,J&T,5,3,Great quality!,2000000
TXN00101,CUST0082,Bob,PROD14,Adidas Ultraboost,Footwear,3500000,2,2023-04-26,Credit Card,JNE,5,2,Excellent service,7000000
TXN00102,CUST0018,Alice,PROD24,Adidas Ultraboost,Electronics,1250000,5,2023-07-27,Bank Transfer,SiCepat,5,5,Excellent service,6250000
TXN00103,CUST0037,Charlie,PROD43,Uniqlo Dry-EX Shirt,Apparel,2000000,3,2023-05-22,Bank Transfer,SiCepat,2,4,Excellent service,6000000
TXN00104,CUST0061,Dina,PROD34,Xiaomi Backpack,Apparel,250000,3,2023-02-05,Cash,AnterAja,1,4,Could be better,750000
TXN00105,CUST0057,Charlie,PROD43,ASUS TUF A15,Apparel,250000,4,2023-11-24,E-Wallet,JNE,2,1,Could be better,1000000
TXN00106,CUST0027,Frank,PROD43,ASUS TUF A15,Accessories,1250000,2,2023-09-06,Cash,J&T,4,5,Not satisfied,2500000
TXN00107,CUST0024,Charlie,PROD32,ASUS TUF A15,Electronics,1250000,1,2023-07-06,E-Wallet,JNE,1,4,Great quality!,1250000
TXN00108,CUST0019,Charlie,PROD12,ASUS TUF A15,Footwear,500000,1,2023-08-03,Cash,JNE,3,4,Excellent service,500000
TXN00109,CUST0058,Alice,PROD36,Uniqlo Dry-EX Shirt,Apparel,1250000,2,2024-01-01,Cash,SiCepat,2,4,Not satisfied,2500000
TXN00110,CUST0020,Eve,PROD4,Lenovo LOQ,Electronics,250000,4,2023-03-17,Credit Card,AnterAja,1,5,Great quality!,1000000
TXN00111,CUST0002,Dina,PROD19,ASUS TUF A15,Accessories,250000,3,2024-03-01,Bank Transfer,SiCepat,4,4,Great quality!,750000
TXN00112,CUST0091,Alice,PROD37,ASUS TUF A15,Apparel,500000,1,2023-06-16,Bank Transfer,JNE,3,1,Great quality!,500000
TXN00113,CUST0032,Alice,PROD9,Lenovo LOQ,Footwear,500000,2,2023-08-20,Credit Card,AnterAja,4,3,Item not as described,1000000
TXN00114,CUST0053,Charlie,PROD36,ASUS TUF A15,Accessories,500000,3,2023-11-13,Credit Card,J&T,2,3,Fast delivery,1500000
TXN00115,CUST0099,Dina,PROD7,ASUS TUF A15,Apparel,500000,2,2023-08-13,E-Wallet,AnterAja,2,3,Excellent service,1000000
TXN00116,CUST0058,Charlie,PROD1,Nike Air Max,Accessories,500000,5,2023-08-14,Bank Transfer,AnterAja,1,1,Great quality!,2500000
TXN00117,CUST0088,Alice,PROD24,Nike Air Max,Apparel,250000,2,2023-01-05,Credit Card,SiCepat,3,5,Could be better,500000
TXN00118,CUST0086,Dina,PROD25,Adidas Ultraboost,Footwear,2000000,2,2023-08-19,Cash,AnterAja,4,1,Fast delivery,4000000
TXN00119,CUST0056,Charlie,PROD4,Xiaomi Backpack,Apparel,2000000,5,2023-05-05,Bank Transfer,JNE,4,5,Great quality!,10000000
TXN00120,CUST0021,Eve,PROD49,Uniqlo Dry-EX Shirt,Footwear,3500000,3,2023-07-22,Cash,AnterAja,5,5,Excellent service,10500000
TXN00121,CUST0086,Eve,PROD45,Uniqlo Dry-EX Shirt,Electronics,3500000,3,2024-05-01,Bank Transfer,AnterAja,2,5,Not satisfied,10500000
TXN00122,CUST0045,Charlie,PROD43,Adidas Ultraboost,Footwear,3500000,3,2023-09-30,Credit Card,AnterAja,1,1,Could be better,10500000
TXN00123,CUST0073,Dina,PROD46,Nike Air Max,Footwear,500000,5,2024-01-08,Credit Card,JNE,3,4,Item not as described,2500000
TXN00124,CUST0094,Alice,PROD41,Adidas Ultraboost,Footwear,500000,5,2023-07-21,Credit Card,SiCepat,1,4,Fast delivery,2500000
TXN00125,CUST0078,Frank,PROD27,Uniqlo Dry-EX Shirt,Accessories,3500000,3,2023-11-16,E-Wallet,SiCepat,3,4,Item not as described,10500000
TXN00126,CUST0058,Bob,PROD34,ASUS TUF A15,Accessories,500000,4,2023-01-13,E-Wallet,AnterAja,1,3,Excellent service,2000000
TXN00127,CUST0007,Charlie,PROD13,Nike Air Max,Accessories,1250000,2,2024-05-23,E-Wallet,JNE,2,4,Fast delivery,2500000
TXN00128,CUST0019,Alice,PROD9,Nike Air Max,Apparel,1250000,1,2023-04-29,Cash,JNE,2,3,Fast delivery,1250000
TXN00129,CUST0053,Dina,PROD11,ASUS TUF A15,Electronics,500000,1,2023-12-04,Cash,SiCepat,4,1,Could be better,500000
TXN00130,CUST0052,Eve,PROD25,Adidas Ultraboost,Electronics,2000000,1,2023-05-07,Credit Card,J&T,1,5,Excellent service,2000000
TXN00131,CUST0012,Bob,PROD7,ASUS TUF A15,Accessories,250000,5,2024-01-04,Bank Transfer,J&T,2,4,Fast delivery,1250000
TXN00132,CUST0064,Charlie,PROD48,Uniqlo Dry-EX Shirt,Accessories,250000,2,2024-06-25,Bank Transfer,J&T,2,5,Could be better,500000
TXN00133,CUST0052,Charlie,PROD44,Adidas Ultraboost,Accessories,1250000,5,2024-06-02,E-Wallet,J&T,3,3,Not satisfied,6250000
TXN00134,CUST0077,Dina,PROD21,Nike Air Max,Electronics,500000,2,2024-03-03,E-Wallet,JNE,3,4,Not satisfied,1000000
TXN00135,CUST0027,Charlie,PROD45,Adidas Ultraboost,Apparel,3500000,2,2024-05-08,E-Wallet,J&T,3,2,Excellent service,7000000
TXN00136,CUST0017,Charlie,PROD10,Adidas Ultraboost,Accessories,250000,1,2023-04-19,E-Wallet,AnterAja,5,5,Could be better,250000
TXN00137,CUST0032,Bob,PROD31,Nike Air Max,Electronics,2000000,2,2023-09-21,Cash,JNE,4,3,Not satisfied,4000000
TXN00138,CUST0069,Frank,PROD37,Adidas Ultraboost,Apparel,1250000,3,2023-05-08,Cash,AnterAja,4,4,Item not as described,3750000
TXN00139,CUST0015,Bob,PROD17,Uniqlo Dry-EX Shirt,Accessories,1250000,3,2024-04-19,Cash,SiCepat,4,5,Fast delivery,3750000
TXN00140,CUST0009,Charlie,PROD13,Lenovo LOQ,Footwear,3500000,5,2023-02-08,Credit Card,SiCepat,5,1,Great quality!,17500000
TXN00141,CUST0018,Alice,PROD16,ASUS TUF A15,Accessories,2000000,1,2023-10-13,Credit Card,AnterAja,4,3,Great quality!,2000000
TXN00142,CUST0069,Bob,PROD42,Nike Air Max,Apparel,3500000,3,2023-03-05,Credit Card,SiCepat,3,1,Fast delivery,10500000
TXN00143,CUST0016,Alice,PROD6,Adidas Ultraboost,Footwear,250000,4,2023-08-19,E-Wallet,AnterAja,1,2,Could be better,1000000
TXN00144,CUST0076,Dina,PROD50,Lenovo LOQ,Apparel,250000,5,2023-10-11,E-Wallet,J&T,1,5,Fast delivery,1250000
TXN00145,CUST0048,Alice,PROD21,Uniqlo Dry-EX Shirt,Accessories,500000,4,2024-04-07,Bank Transfer,AnterAja,5,4,Great quality!,2000000
TXN00146,CUST0035,Frank,PROD26,Xiaomi Backpack,Accessories,1250000,2,2023-10-08,Bank Transfer,AnterAja,5,2,Not satisfied,2500000
TXN00147,CUST0077,Eve,PROD15,Lenovo LOQ,Accessories,1250000,2,2023-11-09,E-Wallet,JNE,2,4,Could be better,2500000
TXN00148,CUST0017,Bob,PROD21,Lenovo LOQ,Footwear,3500000,3,2024-05-22,Credit Card,JNE,2,1,Could be better,10500000
TXN00149,CUST0023,Dina,PROD21,ASUS TUF A15,Accessories,2000000,5,2024-01-02,Bank Transfer,AnterAja,4,2,Not satisfied,10000000
TXN00150,CUST0053,Eve,PROD6,Nike Air Max,Accessories,3500000,2,2023-10-02,Bank Transfer,JNE,5,3,Fast delivery,7000000
TXN00151,CUST0091,Alice,PROD27,Nike Air Max,Electronics,2000000,1,2023-11-12,Credit Card,SiCepat,4,4,Could be better,2000000
TXN00152,CUST0078,Frank,PROD34,Nike Air Max,Accessories,3500000,5,2024-02-19,Credit Card,J&T,1,4,Item not as described,17500000
TXN00153,CUST0082,Charlie,PROD42,Nike Air Max,Footwear,500000,3,2023-08-07,Credit Card,SiCepat,2,1,Fast delivery,1500000
TXN00154,CUST0052,Eve,PROD37,Adidas Ultraboost,Accessories,1250000,3,2023-03-09,Cash,SiCepat,2,5,Not satisfied,3750000
TXN00155,CUST0094,Dina,PROD3,Uniqlo Dry-EX Shirt,Footwear,3500000,3,2023-12-14,E-Wallet,AnterAja,2,2,Not satisfied,10500000
TXN00156,CUST0015,Charlie,PROD25,Uniqlo Dry-EX Shirt,Electronics,2000000,3,2023-04-02,Credit Card,AnterAja,2,2,Could be better,6000000
TXN00157,CUST0084,Bob,PROD36,ASUS TUF A15,Accessories,500000,2,2023-11-17,E-Wallet,JNE,5,2,Could be better,1000000
TXN00158,CUST0008,Bob,PROD5,Nike Air Max,Accessories,1250000,3,2023-10-07,E-Wallet,JNE,1,4,Not satisfied,3750000
TXN00159,CUST0018,Charlie,PROD27,Nike Air Max,Apparel,1250000,2,2023-09-29,Bank Transfer,J&T,4,2,Could be better,2500000
TXN00160,CUST0094,Frank,PROD10,Uniqlo Dry-EX Shirt,Accessories,500000,5,2023-07-17,Cash,J&T,2,5,Excellent service,2500000
TXN00161,CUST0012,Dina,PROD39,Adidas Ultraboost,Apparel,3500000,5,2024-06-19,E-Wallet,J&T,2,2,Not satisfied,17500000
TXN00162,CUST0002,Frank,PROD46,Uniqlo Dry-EX Shirt,Accessories,2000000,5,2024-02-22,Credit Card,JNE,3,5,Great quality!,10000000
TXN00163,CUST0014,Eve,PROD3,ASUS TUF A15,Footwear,250000,1,2024-03-25,E-Wallet,SiCepat,2,5,Could be better,250000
TXN00164,CUST0009,Bob,PROD22,Uniqlo Dry-EX Shirt,Accessories,3500000,3,2023-12-24,Cash,JNE,1,5,Great quality!,10500000
TXN00165,CUST0011,Alice,PROD50,Uniqlo Dry-EX Shirt,Footwear,250000,4,2023-02-06,E-Wallet,J&T,2,5,Not satisfied,1000000
